epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.3783,0.28698,0.93073,1,0.17571,0.003332,0.003332,0.003332
2,100.405,0.23362,0.92162,1,0.21215,0.00653336,0.00653336,0.00653336
3,148.873,0.29217,0.90678,1,0.26233,0.00960272,0.00960272,0.00960272
4,196.692,0.49851,0.86482,1,0.39405,0.009406,0.009406,0.009406
5,245.215,0.428,0.85819,1,0.32312,0.009208,0.009208,0.009208
6,293.321,0.35688,0.87808,1,0.2889,0.00901,0.00901,0.00901
7,339.61,0.33974,0.88827,1,0.26555,0.008812,0.008812,0.008812
8,385.461,0.31557,0.90945,1,0.22336,0.008614,0.008614,0.008614
9,432.036,0.30227,0.91648,1,0.21763,0.008416,0.008416,0.008416
10,478.082,0.28703,0.92123,1,0.20252,0.008218,0.008218,0.008218
11,523.777,0.27064,0.92598,1,0.18791,0.00802,0.00802,0.00802
12,578.546,0.25888,0.92845,1,0.18063,0.007822,0.007822,0.007822
13,626.139,0.24951,0.93647,1,0.16614,0.007624,0.007624,0.007624
14,672.229,0.24218,0.93963,1,0.15898,0.007426,0.007426,0.007426
15,718.286,0.23521,0.94191,1,0.15322,0.007228,0.007228,0.007228
16,764.803,0.22957,0.94438,1,0.14444,0.00703,0.00703,0.00703
17,811.547,0.22296,0.94805,1,0.13817,0.006832,0.006832,0.006832
18,859.747,0.21579,0.95111,1,0.1338,0.006634,0.006634,0.006634
19,915.893,0.20868,0.9523,1,0.12909,0.006436,0.006436,0.006436
20,963.129,0.20517,0.95418,1,0.12534,0.006238,0.006238,0.006238
21,1012.16,0.20055,0.95448,1,0.12314,0.00604,0.00604,0.00604
22,1058.46,0.19641,0.95646,1,0.12087,0.005842,0.005842,0.005842
23,1107.34,0.19255,0.95725,1,0.11865,0.005644,0.005644,0.005644
24,1155.08,0.19067,0.95834,1,0.11655,0.005446,0.005446,0.005446
25,1203.44,0.18443,0.95903,1,0.11446,0.005248,0.005248,0.005248
26,1251.03,0.18411,0.95962,1,0.11332,0.00505,0.00505,0.00505
27,1299.57,0.1786,0.96022,1,0.11201,0.004852,0.004852,0.004852
28,1349,0.1767,0.96051,1,0.11019,0.004654,0.004654,0.004654
29,1396.86,0.17287,0.96111,1,0.10895,0.004456,0.004456,0.004456
30,1444.88,0.17073,0.96101,1,0.10792,0.004258,0.004258,0.004258
31,1492.97,0.16571,0.9617,1,0.10654,0.00406,0.00406,0.00406
32,1541.07,0.16464,0.96239,1,0.10549,0.003862,0.003862,0.003862
33,1589.76,0.15875,0.96269,1,0.10436,0.003664,0.003664,0.003664
34,1639.6,0.15957,0.96329,1,0.10331,0.003466,0.003466,0.003466
35,1690.27,0.15711,0.96348,1,0.10224,0.003268,0.003268,0.003268
36,1747.22,0.15427,0.96378,1,0.10149,0.00307,0.00307,0.00307
37,1803.74,0.14678,0.96437,1,0.10056,0.002872,0.002872,0.002872
38,1853.98,0.14857,0.96517,1,0.09939,0.002674,0.002674,0.002674
39,1903.3,0.14124,0.96556,1,0.09846,0.002476,0.002476,0.002476
40,1953.71,0.14222,0.96556,1,0.09786,0.002278,0.002278,0.002278
41,2001.97,0.13713,0.96586,1,0.09688,0.00208,0.00208,0.00208
42,2050.12,0.13241,0.96616,1,0.09599,0.001882,0.001882,0.001882
43,2097.96,0.12897,0.96655,1,0.09515,0.001684,0.001684,0.001684
44,2144.45,0.12656,0.96675,1,0.09424,0.001486,0.001486,0.001486
45,2190.72,0.12459,0.96665,1,0.09336,0.001288,0.001288,0.001288
46,2237.23,0.12298,0.96685,1,0.09252,0.00109,0.00109,0.00109
47,2283.72,0.12075,0.96744,1,0.09173,0.000892,0.000892,0.000892
48,2332.69,0.11668,0.96744,1,0.09101,0.000694,0.000694,0.000694
49,2381.28,0.11132,0.96774,1,0.09012,0.000496,0.000496,0.000496
50,2428.09,0.10607,0.96774,1,0.08926,0.000298,0.000298,0.000298
